"response","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC"
"connectance",12,"(Intercept)",0.296595277175378,0.0765733123214045,3.87335049488868,0.00376944518644418,0.33258473088671,0.184270226639312,-36.7673018894041
"connectance",12,"hb_raw",-0.0139152269920702,0.0552901398320482,-0.251676465900424,0.806943855725253,0.33258473088671,0.184270226639312,-36.7673018894041
"connectance",12,"log_interaction_sum",-0.040036899377705,0.018919053274797,-2.1162210812652,0.0634257378066568,0.33258473088671,0.184270226639312,-36.7673018894041
"web_asymmetry",12,"(Intercept)",0.300733757356253,0.231365808297626,1.29981936211332,0.225965676314163,0.369780135772403,0.22973127705516,-10.2292675513831
"web_asymmetry",12,"hb_raw",-0.376676274910077,0.167058829053092,-2.25475227526207,0.0506087562955326,0.369780135772403,0.22973127705516,-10.2292675513831
"web_asymmetry",12,"log_interaction_sum",0.0148300025451327,0.0571638070817225,0.259429931318806,0.801140283243129,0.369780135772403,0.22973127705516,-10.2292675513831
"nestedness",12,"(Intercept)",58.0408961011481,7.23802279500786,8.0188882716948,2.17215725491171e-05,0.793962862773153,0.748176832278298,72.4052118836809
"nestedness",12,"hb_raw",-1.94217816226159,5.22625024713305,-0.371619817349352,0.718774152090484,0.793962862773153,0.748176832278298,72.4052118836809
"nestedness",12,"log_interaction_sum",-10.5298009740795,1.78830632646762,-5.88814165573001,0.000232465648981787,0.793962862773153,0.748176832278298,72.4052118836809
"modularity",12,"(Intercept)",0.905655377844253,0.118310742226341,7.65488712860608,3.14279061524486e-05,0.554118204696753,0.455033361296031,-26.3257188759731
"modularity",12,"hb_raw",0.0365545288937796,0.0854268580399297,0.427904405388449,0.678777735133644,0.554118204696753,0.455033361296031,-26.3257188759731
"modularity",12,"log_interaction_sum",-0.0956230946609222,0.0292311664116854,-3.27127194700983,0.00966305953625853,0.554118204696753,0.455033361296031,-26.3257188759731
"H2",12,"(Intercept)",0.165231109071728,0.356404838310146,0.463605123474621,0.653938393686043,0.157953550841404,-0.029167882304951,0.140345904628985
"H2",12,"hb_raw",-0.214322397708662,0.257343880649632,-0.832824923474505,0.426490822717683,0.157953550841404,-0.029167882304951,0.140345904628985
"H2",12,"log_interaction_sum",0.0815882480869509,0.0880573390254173,0.926535470977619,0.378343944059893,0.157953550841404,-0.029167882304951,0.140345904628985
"linkage_density",12,"(Intercept)",-2.32150518952763,0.969464540936879,-2.39462619982383,0.0402509572596375,0.849836751736366,0.816467141011115,24.1565849866085
"linkage_density",12,"hb_raw",-0.525085550813369,0.700006678640557,-0.750115058663594,0.472338501409833,0.849836751736366,0.816467141011115,24.1565849866085
"linkage_density",12,"log_interaction_sum",1.67984323949554,0.239526680275061,7.01317797903133,6.23345917181829e-05,0.849836751736366,0.816467141011115,24.1565849866085
"interaction_evenness",12,"(Intercept)",0.553457871557344,0.0394051623602182,14.0453138220309,1.99435196885919e-07,0.226666270634135,0.0548143307750537,-52.7117446294031
"interaction_evenness",12,"hb_raw",-0.0108615202783657,0.0284526928632289,-0.381739624104356,0.711511344794712,0.226666270634135,0.0548143307750537,-52.7117446294031
"interaction_evenness",12,"log_interaction_sum",0.0150179251819957,0.00973587720570112,1.54253436692911,0.157336708551059,0.226666270634135,0.0548143307750537,-52.7117446294031
