"response","predictor","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC","p_adj_fdr"
"interaction_sum","hb_raw",17,"hb_raw",208.685415725989,58.251505608554,3.5824896463336,0.00272166528825752,0.461095245437878,0.425168261800403,161.390813691281,0.0109918110095653
"n_records","hb_raw",17,"hb_raw",208.685415725989,58.251505608554,3.5824896463336,0.00272166528825752,0.461095245437878,0.425168261800403,161.390813691281,0.0109918110095653
"n_links","hb_raw",17,"hb_raw",132.967812681416,37.5305906140747,3.54291820367866,0.00295180703797909,0.45558023611979,0.419285585194443,146.443951654167,0.0109918110095653
"n_pollinators","hb_raw",17,"hb_raw",54.8313229697478,16.313943820862,3.36100967196113,0.00428740594588868,0.429579410971743,0.391551371703192,118.117322252085,0.0109918110095653
"linkage_density","hb_raw",17,"hb_raw",8.54362071802978,2.56655012781181,3.32883454153062,0.00457992125398553,0.424871752451538,0.38652986928164,55.2357653193472,0.0109918110095653
"nestedness","hb_raw",17,"hb_raw",-62.4418273164774,27.8865649002105,-2.2391365713174,0.0407285501452519,0.25051461858574,0.200548926491456,136.345566703107,0.0814571002905038
"n_plants","hb_raw",17,"hb_raw",32.4130813390957,15.6330816768404,2.07336480478535,0.0557761768030426,0.222751276981613,0.170934695447054,116.667871582964,0.0956163030909302
"web_asymmetry","hb_raw",17,"hb_raw",0.416752093363072,0.34601251705921,1.20444224649756,0.247079857832595,0.0881836511273961,0.0273958945358892,-12.8948954063028,0.370619786748892
"modularity","hb_raw",17,"hb_raw",-0.2565640764781,0.230845688534177,-1.11140943591899,0.283889496980938,0.0760833608867199,0.014488918279168,-26.6555616779644,0.378519329307917
"connectance","hb_raw",17,"hb_raw",-0.305343165838792,0.315448472220154,-0.967965270808763,0.348410927579387,0.0587914480335835,-0.00395578876417768,-16.0392019166639,0.408203537742069
"interaction_evenness","hb_raw",17,"hb_raw",0.0883597608740996,0.100965042633731,0.875152018651053,0.395288747479012,0.0485789894805682,-0.014849077887394,-54.7727160266874,0.408203537742069
"H2","hb_raw",14,"hb_raw",-0.550567815678542,0.642393087387467,-0.857057503401278,0.408203537742069,0.0576814810606304,-0.020845062184317,6.17716455846945,0.408203537742069
