"variable","NMDS1","NMDS2","r2","p.value","label","NMDS1_end","NMDS2_end","label_x","label_y"
"hb_raw",-0.0353179888485395,0.369546022673457,0.137811623210076,0.38,"% honey bee",-0.0351055731117328,0.36732343318721,-0.0393182418851408,0.411402245169675
"log_interaction_sum",-0.121211762784041,-0.893099835384868,0.812319607401692,0.001,"Sampling effort",-0.120482749418874,-0.887728395340851,-0.134940679349138,-0.994255802781754
