"response","predictor","effort","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC","p_adj_fdr"
"web_asymmetry","hb_logit","log_interaction_sum",12,"hb_logit",-0.0331915065602239,0.014704028283014,-2.25730704004198,0.0503979126766546,0.370295529730321,0.230361203003726,-10.239085169268,0.352785388736582
"linkage_density","hb_logit","log_interaction_sum",12,"hb_logit",-0.0632040776797509,0.0599405819629619,-1.05444551270466,0.319162550521166,0.857992234688398,0.826434953508042,23.4864895946648,0.925199637978842
"interaction_evenness","hb_logit","log_interaction_sum",12,"hb_logit",-0.00103025231331547,0.00250209125603708,-0.411756490027957,0.690151332851578,0.228675036830839,0.0572694894599143,-52.7429556769514,0.925199637978842
"nestedness","hb_logit","log_interaction_sum",12,"hb_logit",-0.0960043266246422,0.462599114867747,-0.207532447726557,0.840213944865787,0.791797665156603,0.745530479635848,72.5306591661025,0.925199637978842
"modularity","hb_logit","log_interaction_sum",12,"hb_logit",0.00119209530495015,0.00758783243606674,0.15710617162338,0.87862920054756,0.546291168140787,0.445466983283184,-26.1168976499199,0.925199637978842
"H2","hb_logit","log_interaction_sum",12,"hb_logit",-0.00263393339409024,0.0235004812038141,-0.112079977054375,0.913219949821999,0.0943241996983891,-0.106937089257525,1.01450063703295,0.925199637978842
"connectance","hb_logit","log_interaction_sum",12,"hb_logit",0.000471457140482044,0.00488304076284725,0.09654990883327,0.925199637978842,0.328582963414102,0.179379177506125,-36.6955657168057,0.925199637978842
