"response","n_unadjusted","estimate_unadjusted","p_unadjusted","r2_unadjusted","p_adj_fdr_unadjusted","n_adjusted","estimate_adjusted","p_adjusted","r2_adjusted","adj_r2_adjusted","p_adj_fdr_adjusted"
"web_asymmetry",12,-0.380189171609219,0.0374527869732711,0.36506721933307,0.262169508812897,12,-0.376676274910077,0.0506087562955326,0.369780135772403,0.22973127705516,0.354261294068728
"H2",12,-0.233648833191136,0.380508131804331,0.0776346715729339,0.901417484512576,12,-0.214322397708662,0.426490822717683,0.157953550841404,-0.029167882304951,0.806943855725253
"linkage_density",12,-0.923002931686435,0.595421771462325,0.0292001832859397,0.901417484512576,12,-0.525085550813369,0.472338501409833,0.849836751736366,0.816467141011115,0.806943855725253
"modularity",12,0.0592055063682479,0.631025429889142,0.0239538432529729,0.901417484512576,12,0.0365545288937796,0.678777735133644,0.554118204696753,0.455033361296031,0.806943855725253
"interaction_evenness",12,-0.0144189316570381,0.643869631794697,0.0222129632008326,0.901417484512576,12,-0.0108615202783657,0.711511344794712,0.226666270634135,0.0548143307750537,0.806943855725253
"nestedness",12,0.55209673566201,0.960548867524786,0.000257167209821771,0.960548867524786,12,-1.94217816226159,0.718774152090484,0.793962862773153,0.748176832278298,0.806943855725253
"connectance",12,-0.00443137887810028,0.946145465202798,0.000479511092112891,0.960548867524786,12,-0.0139152269920702,0.806943855725253,0.33258473088671,0.184270226639312,0.806943855725253
