"term","Df","SumOfSqs","R2","F","Pr(>F)"
"hb_raw",1,0.466293003138198,0.0796572671062866,1.31221026359198,0.051
"log_interaction_sum",1,0.703603704090868,0.120197274710399,1.98003400393237,0.001
"Residual",13,4.6195409447593,0.789160473068603,NA,NA
"Total",15,5.85374090873621,1,NA,NA
