"response","predictor","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC","p_adj_fdr"
"web_asymmetry","hb_logit",12,"hb_logit",-0.0331917186070514,0.0136874924906432,-2.42496707338772,0.0357566297639975,0.370295529339253,0.307325082273178,-12.2390851618156,0.250296408347983
"linkage_density","hb_logit",12,"hb_logit",-0.143651257527626,0.140924384348148,-1.0193499030852,0.332064313501897,0.0941269352618524,0.00353962878803749,43.7226989908579,0.772016757473031
"interaction_evenness","hb_logit",12,"hb_logit",-0.00174050544523969,0.00259424736225546,-0.670909594267246,0.517473750592385,0.0430731606244485,-0.0526195233131068,-52.1555495988741,0.772016757473031
"modularity","hb_logit",12,"hb_logit",0.00587000002710427,0.0103205601838814,0.56876757874752,0.582061400927352,0.0313359487066182,-0.0655304564227199,-19.0153512174236,0.772016757473031
"nestedness","hb_logit",12,"hb_logit",0.419484737654576,0.934364470622519,0.44895193561362,0.663038775228358,0.0197575550364678,-0.0782666894598856,89.1221339262361,0.772016757473031
"connectance","hb_logit",12,"hb_logit",0.00239149895191217,0.00549550927903089,0.435173307965718,0.672678746683977,0.0185856142255322,-0.0795558243519148,-34.1403138404802,0.772016757473031
"H2","hb_logit",12,"hb_logit",-0.00681329211089225,0.0228855733876029,-0.297711225998078,0.772016757473031,0.00878533128306678,-0.0903361355886265,0.0974973185589594,0.772016757473031
