"response","predictor","effort","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC","p_adj_fdr"
"web_asymmetry","hb_raw","log_interaction_sum",12,"hb_raw",-0.376676274910077,0.167058829053092,-2.25475227526207,0.0506087562955326,0.369780135772403,0.22973127705516,-10.2292675513831,0.354261294068728
"H2","hb_raw","log_interaction_sum",12,"hb_raw",-0.214322397708662,0.257343880649632,-0.832824923474505,0.426490822717683,0.157953550841404,-0.029167882304951,0.140345904628985,0.806943855725253
"linkage_density","hb_raw","log_interaction_sum",12,"hb_raw",-0.525085550813369,0.700006678640557,-0.750115058663594,0.472338501409833,0.849836751736366,0.816467141011115,24.1565849866085,0.806943855725253
"modularity","hb_raw","log_interaction_sum",12,"hb_raw",0.0365545288937796,0.0854268580399297,0.427904405388449,0.678777735133644,0.554118204696753,0.455033361296031,-26.3257188759731,0.806943855725253
"interaction_evenness","hb_raw","log_interaction_sum",12,"hb_raw",-0.0108615202783657,0.0284526928632289,-0.381739624104356,0.711511344794712,0.226666270634135,0.0548143307750537,-52.7117446294031,0.806943855725253
"nestedness","hb_raw","log_interaction_sum",12,"hb_raw",-1.94217816226159,5.22625024713305,-0.371619817349352,0.718774152090484,0.793962862773153,0.748176832278298,72.4052118836809,0.806943855725253
"connectance","hb_raw","log_interaction_sum",12,"hb_raw",-0.0139152269920702,0.0552901398320482,-0.251676465900424,0.806943855725253,0.33258473088671,0.184270226639312,-36.7673018894041,0.806943855725253
